15322418 [Pos{x=2624, y=0, z=2848}, Pos{x=1120, y=0, z=1920}, Pos{x=3040, y=0, z=2304}, Pos{x=2912, y=0, z=64}, Pos{x=512, y=0, z=-2336}]
19050532 [Pos{x=1952, y=0, z=32}, Pos{x=-1568, y=0, z=960}, Pos{x=-2288, y=0, z=1616}, Pos{x=2336, y=0, z=2752}, Pos{x=-96, y=0, z=-2048}]
21470706 [Pos{x=192, y=0, z=-1504}, Pos{x=2160, y=0, z=1264}, Pos{x=2192, y=0, z=3024}, Pos{x=1504, y=0, z=2112}, Pos{x=1600, y=0, z=448}]
22116109 [Pos{x=2992, y=0, z=-1776}, Pos{x=2464, y=0, z=3040}, Pos{x=2432, y=0, z=-2784}, Pos{x=-2400, y=0, z=-2848}, Pos{x=1184, y=0, z=2368}]
24190093 [Pos{x=-1136, y=0, z=2800}, Pos{x=2656, y=0, z=768}, Pos{x=2912, y=0, z=3008}, Pos{x=2608, y=0, z=2096}, Pos{x=-176, y=0, z=-1008}]
24469465 [Pos{x=-2560, y=0, z=2560}, Pos{x=-1152, y=0, z=-1792}, Pos{x=480, y=0, z=3008}, Pos{x=3040, y=0, z=-2688}, Pos{x=-720, y=0, z=-1296}]
26499148 [Pos{x=1920, y=0, z=-2080}, Pos{x=-2464, y=0, z=896}, Pos{x=-2400, y=0, z=1664}, Pos{x=3040, y=0, z=3040}, Pos{x=128, y=0, z=1472}]
28933085 [Pos{x=1120, y=0, z=2528}, Pos{x=1696, y=0, z=512}, Pos{x=-2160, y=0, z=-1968}, Pos{x=-608, y=0, z=-2048}, Pos{x=1568, y=0, z=2016}]
34304869 [Pos{x=3040, y=0, z=-1152}, Pos{x=-224, y=0, z=-3008}, Pos{x=3040, y=0, z=2560}, Pos{x=2656, y=0, z=-2464}, Pos{x=2192, y=0, z=-368}]
36373295 [Pos{x=448, y=0, z=-1312}, Pos{x=-1824, y=0, z=1728}, Pos{x=1440, y=0, z=2048}, Pos{x=2400, y=0, z=-1728}, Pos{x=-2912, y=0, z=-2304}]
37327927 [Pos{x=-928, y=0, z=2464}, Pos{x=896, y=0, z=1792}, Pos{x=-1184, y=0, z=-3072}, Pos{x=2528, y=0, z=1760}, Pos{x=1184, y=0, z=-64}]
38537820 [Pos{x=544, y=0, z=1024}, Pos{x=-32, y=0, z=-1088}, Pos{x=-2240, y=0, z=2976}, Pos{x=2960, y=0, z=-784}, Pos{x=1824, y=0, z=2112}]
38913151 [Pos{x=576, y=0, z=2240}, Pos{x=2080, y=0, z=-192}, Pos{x=3008, y=0, z=-192}, Pos{x=3040, y=0, z=2944}, Pos{x=2656, y=0, z=-3072}]
39802689 [Pos{x=-320, y=0, z=1216}, Pos{x=1312, y=0, z=-384}, Pos{x=2432, y=0, z=-640}, Pos{x=-1376, y=0, z=-2976}, Pos{x=2864, y=0, z=1872}]
40095872 [Pos{x=2000, y=0, z=1296}, Pos{x=-2464, y=0, z=-1216}, Pos{x=3040, y=0, z=2560}, Pos{x=1152, y=0, z=-2688}, Pos{x=3040, y=0, z=-1120}]
44852995 [Pos{x=2912, y=0, z=-1696}, Pos{x=2976, y=0, z=384}, Pos{x=1440, y=0, z=3008}, Pos{x=-2672, y=0, z=-1296}, Pos{x=-2144, y=0, z=-2560}]
50602732 [Pos{x=-704, y=0, z=-1600}, Pos{x=2656, y=0, z=2816}, Pos{x=-768, y=0, z=3008}, Pos{x=3040, y=0, z=-2080}, Pos{x=1312, y=0, z=2720}]
53509290 [Pos{x=672, y=0, z=-2240}, Pos{x=1536, y=0, z=3040}, Pos{x=-48, y=0, z=3024}, Pos{x=3040, y=0, z=2528}, Pos{x=80, y=0, z=-16}]
56134739 [Pos{x=-2656, y=0, z=736}, Pos{x=3040, y=0, z=-2144}, Pos{x=-608, y=0, z=2624}, Pos{x=-1408, y=0, z=2816}, Pos{x=1712, y=0, z=2064}]
58652429 [Pos{x=2464, y=0, z=288}, Pos{x=-2800, y=0, z=-208}, Pos{x=-1024, y=0, z=2112}, Pos{x=2944, y=0, z=-2048}, Pos{x=-880, y=0, z=272}]
60337468 [Pos{x=2976, y=0, z=-704}, Pos{x=2656, y=0, z=-1536}, Pos{x=-304, y=0, z=-2000}, Pos{x=544, y=0, z=-3008}, Pos{x=2576, y=0, z=816}]
61132462 [Pos{x=3040, y=0, z=1120}, Pos{x=32, y=0, z=-544}, Pos{x=-2592, y=0, z=-544}, Pos{x=3008, y=0, z=-2304}, Pos{x=2272, y=0, z=2496}]
61991664 [Pos{x=-2608, y=0, z=-2320}, Pos{x=3040, y=0, z=1312}, Pos{x=-1392, y=0, z=1776}, Pos{x=-2144, y=0, z=2560}, Pos{x=2896, y=0, z=-208}]
63164055 [Pos{x=832, y=0, z=-2208}, Pos{x=-2752, y=0, z=-2048}, Pos{x=-2432, y=0, z=-1344}, Pos{x=3040, y=0, z=2528}, Pos{x=1760, y=0, z=2304}]
65446799 [Pos{x=-144, y=0, z=624}, Pos{x=96, y=0, z=2304}, Pos{x=-352, y=0, z=-2880}, Pos{x=3024, y=0, z=-1264}, Pos{x=800, y=0, z=-1024}]
66599145 [Pos{x=-1328, y=0, z=-1680}, Pos{x=-1904, y=0, z=2480}, Pos{x=-2432, y=0, z=3008}, Pos{x=-1072, y=0, z=-176}, Pos{x=2656, y=0, z=2048}]
67915207 [Pos{x=960, y=0, z=800}, Pos{x=2192, y=0, z=-48}, Pos{x=1616, y=0, z=-1936}, Pos{x=320, y=0, z=-2304}, Pos{x=-1888, y=0, z=-256}]
